code,value
000001.SZ,71.03
000002.SZ,64.24
000004.SZ,54.49
000005.SZ,29.3
000006.SZ,44.33
000007.SZ,47.06
000008.SZ,47.91
000009.SZ,27.83
000010.SZ,46.03
000011.SZ,65.5
000012.SZ,31.15
000014.SZ,39.79
000016.SZ,40.37
000017.SZ,21.31
000019.SZ,73.28
000020.SZ,58.15
000021.SZ,56.36
000023.SZ,47.09
000025.SZ,68.52
000026.SZ,42.39
000027.SZ,79.06
000028.SZ,69.95
000029.SZ,65.71
000030.SZ,72.91
000031.SZ,81.63
000032.SZ,68.79
000034.SZ,56.19
000035.SZ,51.37
000036.SZ,40.91
000037.SZ,48.12
000038.SZ,71.92
000039.SZ,78.06
000040.SZ,49.96
000042.SZ,73.53
000045.SZ,52.31
000046.SZ,82.43
000048.SZ,83.23
000049.SZ,54.8
000050.SZ,64.72
000055.SZ,28.28
000056.SZ,64.58
000058.SZ,58.63
000059.SZ,53.95
000060.SZ,41.72
000061.SZ,70.31
000062.SZ,79.65
000063.SZ,51.79
000065.SZ,68.8
000066.SZ,49.92
000068.SZ,49.93
000069.SZ,68.27
000070.SZ,47.36
000078.SZ,48.67
000088.SZ,78.13
000089.SZ,69.29
000090.SZ,54.15
000096.SZ,77.12
000099.SZ,48.24
000100.SZ,29.56
000150.SZ,61.65
000151.SZ,49.51
000153.SZ,35.56
000155.SZ,55.76
000156.SZ,72.92
000157.SZ,61.59
000158.SZ,54.11
000159.SZ,29.17
000166.SZ,76.31
000301.SZ,82.37
000333.SZ,60.04
000338.SZ,58.25
000400.SZ,53.75
000401.SZ,46.03
000402.SZ,74.45
000403.SZ,60.12
000404.SZ,42.44
000407.SZ,34.16
000408.SZ,82.63
000409.SZ,42.19
000410.SZ,64.86
000411.SZ,70.08
000413.SZ,31
000415.SZ,71.54
000416.SZ,26.92
000417.SZ,56.9
000419.SZ,53.04
000420.SZ,55.8
000421.SZ,59.81
000422.SZ,32.19
000423.SZ,50.06
000425.SZ,59.89
000426.SZ,65.27
000428.SZ,64.79
000429.SZ,70.36
000430.SZ,56.06
000488.SZ,45.34
000498.SZ,69.61
000501.SZ,53.93
000502.SZ,43.1
000503.SZ,30.38
000504.SZ,52.61
000505.SZ,58.46
000506.SZ,44.43
000507.SZ,42.67
000509.SZ,34.1
000510.SZ,31.83
000513.SZ,70.65
000514.SZ,65.45
000516.SZ,34.97
000517.SZ,84.04
000518.SZ,48.89
000519.SZ,55.76
000520.SZ,39.94
000521.SZ,36.77
000523.SZ,49.7
000524.SZ,81.32
000525.SZ,62.02
000526.SZ,50.7
000528.SZ,45.1
000529.SZ,58.8
000530.SZ,32.69
000531.SZ,65.81
000532.SZ,51.04
000533.SZ,46.3
000534.SZ,62.54
000536.SZ,62.93
000537.SZ,82.24
000538.SZ,80.98
000539.SZ,76.49
000540.SZ,55.16
000541.SZ,43.58
000543.SZ,65.03
000544.SZ,79.77
000545.SZ,42.84
000546.SZ,61.33
000547.SZ,36.82
000548.SZ,36.41
000550.SZ,81.08
000551.SZ,52.72
000552.SZ,68.51
000553.SZ,84
000554.SZ,30.55
000555.SZ,63.13
000557.SZ,61.72
000558.SZ,54.7
000559.SZ,68.09
000560.SZ,54.12
000561.SZ,57.43
000563.SZ,60.86
000564.SZ,56.21
000565.SZ,44.5
000566.SZ,52.72
000567.SZ,77.08
000568.SZ,63.51
000570.SZ,33.28
000571.SZ,38.63
000572.SZ,51.21
000573.SZ,28.44
000576.SZ,53.42
000581.SZ,47.09
000582.SZ,88.19
000584.SZ,43.29
000585.SZ,42.9
000586.SZ,43.49
000587.SZ,61.9
000589.SZ,29.27
000590.SZ,52.81
000591.SZ,52.18
000592.SZ,32.24
000593.SZ,50.95
000595.SZ,54.47
000596.SZ,68.83
000597.SZ,60.47
000598.SZ,53.51
000599.SZ,48.44
000600.SZ,73.02
000601.SZ,49.67
000603.SZ,58.56
000605.SZ,64.49
000606.SZ,52.49
000607.SZ,64.92
000608.SZ,61.19
000609.SZ,36.65
000610.SZ,33.36
000611.SZ,24.11
000612.SZ,63.03
000613.SZ,35
000615.SZ,53.18
000616.SZ,29.88
000617.SZ,94.03
000619.SZ,42.52
000620.SZ,78.82
000622.SZ,46.06
000623.SZ,45.41
000625.SZ,54.97
000626.SZ,67.12
000627.SZ,76.58
000628.SZ,51.63
000629.SZ,64
000630.SZ,50.38
000631.SZ,79.41
000632.SZ,52.59
000633.SZ,40.26
000635.SZ,56.42
000636.SZ,27.25
000637.SZ,48.99
000638.SZ,45.27
000639.SZ,67.85
000650.SZ,35.22
000651.SZ,50.15
000652.SZ,38.54
000655.SZ,62.16
000656.SZ,66.24
000657.SZ,67.21
000659.SZ,35.77
000661.SZ,44.33
000662.SZ,63.62
000663.SZ,56.07
000665.SZ,60.8
000666.SZ,63.71
000667.SZ,24.2
000668.SZ,47.43
000669.SZ,53.05
000670.SZ,35.4
000671.SZ,69.28
000672.SZ,66.97
000673.SZ,51.94
000676.SZ,58.29
000677.SZ,37.33
000678.SZ,56.56
000679.SZ,34.84
000680.SZ,34.4
000681.SZ,56.9
000682.SZ,43.09
000683.SZ,42.05
000685.SZ,67.93
000686.SZ,51.13
000687.SZ,50.23
000688.SZ,77.27
000690.SZ,38.3
000691.SZ,35.78
000692.SZ,39.46
000695.SZ,45.63
000697.SZ,44.88
000698.SZ,48.79
000700.SZ,46.42
000701.SZ,36.68
000702.SZ,38.19
000703.SZ,65.07
000705.SZ,31.57
000707.SZ,31.89
000708.SZ,95.07
000709.SZ,66.93
000710.SZ,68.1
000711.SZ,63.78
000712.SZ,53.65
000713.SZ,37.82
000715.SZ,77.32
000716.SZ,49
000717.SZ,57.97
000718.SZ,63.55
000719.SZ,84.29
000720.SZ,50.5
000721.SZ,36.65
000722.SZ,58.95
000723.SZ,75.59
000725.SZ,36.36
000726.SZ,44.74
000727.SZ,51.94
000728.SZ,62
000729.SZ,71.93
000731.SZ,34.19
000732.SZ,71.11
000733.SZ,48.48
000735.SZ,26.56
000736.SZ,77.04
000737.SZ,35.13
000738.SZ,63.33
000739.SZ,61.36
000750.SZ,46.94
000751.SZ,26.07
000752.SZ,43.14
000753.SZ,43.5
000755.SZ,38.26
000756.SZ,73.54
000757.SZ,57.36
000758.SZ,46.54
000759.SZ,75.43
000760.SZ,41.33
000761.SZ,82.25
000762.SZ,34.32
000766.SZ,58.83
000767.SZ,69.7
000768.SZ,62.43
000776.SZ,74.57
000777.SZ,31.93
000778.SZ,51.31
000779.SZ,73.62
000780.SZ,65.51
000782.SZ,39.13
000783.SZ,51.44
000785.SZ,92.58
000786.SZ,64.59
000788.SZ,46.64
000789.SZ,54.91
000790.SZ,29.83
000791.SZ,65.21
000792.SZ,60.14
000793.SZ,35.49
000795.SZ,53.95
000796.SZ,69.11
000797.SZ,61.76
000798.SZ,66.69
000799.SZ,41.04
000800.SZ,65.39
000801.SZ,55.84
000802.SZ,54.13
000803.SZ,69.57
000806.SZ,49.24
000807.SZ,48.65
000809.SZ,43.66
000810.SZ,70.4
000811.SZ,51.82
000812.SZ,38.01
000813.SZ,73.91
000815.SZ,61.13
000816.SZ,29.52
000818.SZ,40.88
000819.SZ,41.76
000820.SZ,62.01
000821.SZ,53.01
000822.SZ,44.81
000823.SZ,40.78
000825.SZ,68.65
000826.SZ,52.81
000828.SZ,73.76
000829.SZ,57.27
000830.SZ,41.02
000831.SZ,46.88
000833.SZ,59.84
