code,value
000001.SZ,75.48
000002.SZ,70.13
000004.SZ,44.14
000005.SZ,24.47
000006.SZ,43.61
000007.SZ,25.21
000008.SZ,45.28
000009.SZ,21.63
000010.SZ,29.87
000011.SZ,72.45
000012.SZ,47.39
000014.SZ,34.58
000016.SZ,35.49
000017.SZ,22.08
000019.SZ,35.5
000020.SZ,65.94
000021.SZ,53.24
000023.SZ,42.74
000025.SZ,74.56
000026.SZ,46.82
000027.SZ,79.36
000028.SZ,78.48
000029.SZ,73.39
000030.SZ,74.75
000031.SZ,63.38
000032.SZ,66.47
000034.SZ,34.29
000035.SZ,54.6
000036.SZ,40.22
000037.SZ,46.28
000038.SZ,35.48
000039.SZ,52.73
000040.SZ,30.01
000042.SZ,74
000045.SZ,54.78
000046.SZ,79.81
000048.SZ,73.49
000049.SZ,55.84
000050.SZ,64.51
000055.SZ,20.95
000056.SZ,67.16
000058.SZ,47.13
000059.SZ,49.5
000060.SZ,43.08
000061.SZ,69.39
000062.SZ,73.93
000063.SZ,51.1
000065.SZ,61.38
000066.SZ,45.84
000068.SZ,47.04
000069.SZ,66.96
000070.SZ,43.43
000078.SZ,50.44
000088.SZ,78.24
000089.SZ,69.53
000090.SZ,55.04
000096.SZ,67.94
000099.SZ,43.75
000100.SZ,27.04
000150.SZ,43
000151.SZ,40.9
000153.SZ,32.69
000155.SZ,55.64
000156.SZ,70.4
000157.SZ,59.17
000158.SZ,53.02
000159.SZ,24.93
000166.SZ,75.97
000301.SZ,41.93
000333.SZ,64.63
000338.SZ,38.84
000400.SZ,56.97
000401.SZ,50
000402.SZ,76.42
000403.SZ,59.57
000404.SZ,37.84
000407.SZ,29.45
000408.SZ,17.5
000409.SZ,25.83
000410.SZ,64.97
000411.SZ,62.13
000413.SZ,25.21
000415.SZ,55.46
000416.SZ,23.11
000417.SZ,54.02
000419.SZ,47.82
000420.SZ,41.95
000421.SZ,57.59
000422.SZ,24.31
000423.SZ,56.19
000425.SZ,62.68
000426.SZ,51.27
000428.SZ,59.77
000429.SZ,81.66
000430.SZ,45.22
000488.SZ,34.32
000498.SZ,69.31
000501.SZ,58.99
000502.SZ,32.74
000503.SZ,28.39
000504.SZ,48.57
000505.SZ,38.82
000506.SZ,39.68
000507.SZ,26.86
000509.SZ,31.37
000510.SZ,18.78
000513.SZ,62.64
000514.SZ,63.86
000516.SZ,32.3
000517.SZ,69.28
000518.SZ,11.53
000519.SZ,35.26
000520.SZ,39.05
000521.SZ,37.07
000523.SZ,45.62
000524.SZ,53.33
000525.SZ,58.73
000526.SZ,44.86
000528.SZ,47.05
000529.SZ,56.46
000530.SZ,29.11
000531.SZ,63.1
000532.SZ,50.03
000533.SZ,22.31
000534.SZ,57.26
000536.SZ,63.44
000537.SZ,43.8
000538.SZ,67.76
000539.SZ,79.96
000540.SZ,55.15
000541.SZ,48.24
000543.SZ,58.37
000544.SZ,78.59
000545.SZ,38.45
000546.SZ,49.14
000547.SZ,31.3
000548.SZ,32.59
000550.SZ,81.78
000551.SZ,38.28
000552.SZ,64.08
000553.SZ,52.84
000554.SZ,2.28
000555.SZ,63.05
000557.SZ,59.86
000558.SZ,46.73
000559.SZ,67.18
000560.SZ,42.3
000561.SZ,57.51
000563.SZ,61.25
000564.SZ,51.78
000565.SZ,40.79
000566.SZ,45.47
000567.SZ,30.19
000568.SZ,76.59
000570.SZ,41.66
000571.SZ,35.44
000572.SZ,46.67
000573.SZ,22.99
000576.SZ,49.11
000581.SZ,57.67
000582.SZ,70.55
000584.SZ,38.83
000585.SZ,15.29
000586.SZ,41.61
000587.SZ,32.45
000589.SZ,26.98
000590.SZ,47.13
000591.SZ,34.88
000592.SZ,30.36
000593.SZ,45.54
000595.SZ,53.77
000596.SZ,90.92
000597.SZ,54.81
000598.SZ,53.16
000599.SZ,44
000600.SZ,56.34
000601.SZ,49.8
000603.SZ,42.94
